Program Version:,EnergyPlus, Version 23.2.0-7636e6b3e9, YMD=2024.02.20 23:20
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,GREEN STUDIO (01-01:31-12) ** Tampa International Ap FL USA TMY3 WMO#=722110

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over         0.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,0.00,0.00,0.00
,Net Site Energy,0.00,0.00,0.00
,Total Source Energy,0.00,0.00,0.00
,Net Source Energy,0.00,0.00,0.00


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,0.250
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,10200.00
,Net Conditioned Building Area,9946.10
,Unconditioned Building Area,253.90


End Uses

,,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating Water [kWh],District Heating Steam [kWh],Water [m3]
,Heating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating Water [kWh],District Heating Steam [kWh],Water [m3]
,4FXFFCXCXDYLGHTNG:OFFICE_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,76.00,18.36,122.00,90.00,E
,4FXFFCXCXDYLGHTNG:OFFICE_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,13.08,32.00,90.00,N
,4FXFFCXCXDYLGHTNG:OFFICE_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,76.00,32.77,302.00,90.00,W
,4FXFFCXCXDYLGHTNG:OFFICE_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,32.54,212.00,90.00,S
,4FXFFCXCXDYLGHTNG:OFFICE_EXTFLOOR_0_1_0,PROJECT EXTERNAL FLOOR,0.30,0.251,0.264,19.50,19.50,32.00,180.00,
,4FXFFCXCXDYLGHTNG:OFFICE_ROOF_1_1_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,13.00,13.00,212.00,0.00,
,4FXOFFICEXAC1:OFFICE_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,76.00,32.77,122.00,90.00,E
,4FXOFFICEXAC1:OFFICE_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,13.08,32.00,90.00,N
,4FXOFFICEXAC1:OFFICE_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,76.00,18.36,302.00,90.00,W
,4FXOFFICEXAC1:OFFICE_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,32.54,212.00,90.00,S
,4FXOFFICEXAC1:OFFICE_EXTFLOOR_0_1_0,PROJECT EXTERNAL FLOOR,0.30,0.251,0.264,19.50,19.50,32.00,180.00,
,4FXOFFICEXAC1:OFFICE_ROOF_1_1_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,13.00,13.00,212.00,0.00,
,5FXOFFICEXAC:OFFICE_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,72.00,37.93,122.00,90.00,E
,5FXOFFICEXAC:OFFICE_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,13.08,32.00,90.00,N
,5FXOFFICEXAC:OFFICE_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,72.00,17.48,302.00,90.00,W
,5FXOFFICEXAC:OFFICE_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,32.54,212.00,90.00,S
,5FXOFFICEXAC:OFFICE_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,234.00,234.00,212.00,0.00,
,5FXFFCXC1XDYLGHTNG:OFFICE_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,72.00,17.48,122.00,90.00,E
,5FXFFCXC1XDYLGHTNG:OFFICE_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,13.08,32.00,90.00,N
,5FXFFCXC1XDYLGHTNG:OFFICE_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,72.00,37.93,302.00,90.00,W
,5FXFFCXC1XDYLGHTNG:OFFICE_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,34.97,212.00,90.00,S
,5FXFFCXC1XDYLGHTNG:OFFICE_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,234.00,234.00,212.00,0.00,
,5FXOFFICEXLAB:OFFICE_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,44.00,23.21,302.00,90.00,W
,5FXOFFICEXLAB:OFFICE_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,27.68,212.00,90.00,S
,5FXOFFICEXLAB:OFFICE_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,44.00,23.21,122.00,90.00,E
,5FXOFFICEXLAB:OFFICE_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,143.00,143.00,212.00,0.00,
,5FXOFFICEXLAB:AC_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,11.98,11.98,32.00,90.00,N
,5FXOFFICEXLAB:AC_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,28.00,28.00,302.00,90.00,W
,5FXOFFICEXLAB:AC_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,20.99,20.99,212.00,0.00,
,5FXOFFICEXLAB:LAB_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,40.02,25.50,32.00,90.00,N
,5FXOFFICEXLAB:LAB_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,28.00,22.80,122.00,90.00,E
,5FXOFFICEXLAB:LAB_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,70.01,70.01,212.00,0.00,
,5FXOFFICEXLABQ1:OFFICE_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,44.00,23.21,302.00,90.00,W
,5FXOFFICEXLABQ1:OFFICE_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,27.68,212.00,90.00,S
,5FXOFFICEXLABQ1:OFFICE_WALL_6_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,44.00,23.21,122.00,90.00,E
,5FXOFFICEXLABQ1:OFFICE_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,143.00,143.00,212.00,0.00,
,5FXOFFICEXLABQ1:AC_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,28.00,28.00,122.00,90.00,E
,5FXOFFICEXLABQ1:AC_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,12.00,12.00,32.00,90.00,N
,5FXOFFICEXLABQ1:AC_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,21.00,21.00,212.00,0.00,
,5FXOFFICEXLABQ1:LAB_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,40.00,25.47,32.00,90.00,N
,5FXOFFICEXLABQ1:LAB_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,28.00,22.80,302.00,90.00,W
,5FXOFFICEXLABQ1:LAB_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,70.00,70.00,212.00,0.00,
,5FXLABXRESTROOM:RESTROOM_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,10.00,10.00,302.00,90.00,W
,5FXLABXRESTROOM:RESTROOM_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,52.00,212.00,90.00,S
,5FXLABXRESTROOM:RESTROOM_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,10.00,10.00,122.00,90.00,E
,5FXLABXRESTROOM:RESTROOM_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,32.50,32.50,212.00,0.00,
,5FXLABXRESTROOM:LAB_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,29.99,29.99,122.00,90.00,E
,5FXLABXRESTROOM:LAB_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,33.23,32.00,90.00,N
,5FXLABXRESTROOM:LAB_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,29.99,24.40,302.00,90.00,W
,5FXLABXRESTROOM:LAB_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,97.46,97.46,212.00,0.00,
,5FXLAB:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,36.00,36.00,122.00,90.00,E
,5FXLAB:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,68.00,48.73,32.00,90.00,N
,5FXLAB:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,36.00,29.39,302.00,90.00,W
,5FXLAB:ZONE1_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,68.00,43.22,212.00,90.00,S
,5FXLAB:ZONE1_EXTFLOOR_0_0_0,PROJECT EXTERNAL FLOOR,0.30,0.251,0.264,19.50,19.50,32.00,180.00,
,5FXLAB:ZONE1_EXTFLOOR_0_0_1,PROJECT EXTERNAL FLOOR,0.30,0.251,0.264,36.00,36.00,32.00,180.00,
,5FXLAB:ZONE1_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,153.00,153.00,212.00,0.00,
,5FXMEETINGROOM:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,30.00,19.12,122.00,90.00,E
,5FXMEETINGROOM:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,27.68,32.00,90.00,N
,5FXMEETINGROOM:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,30.00,16.40,302.00,90.00,W
,5FXMEETINGROOM:ZONE1_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,27.68,212.00,90.00,S
,5FXMEETINGROOM:ZONE1_EXTFLOOR_0_0_0,PROJECT EXTERNAL FLOOR,0.30,0.251,0.264,15.00,15.00,32.00,180.00,
,5FXMEETINGROOM:ZONE1_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,97.50,97.50,212.00,0.00,
,5FXMEETINGROOM1:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,30.00,16.40,122.00,90.00,E
,5FXMEETINGROOM1:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,27.68,32.00,90.00,N
,5FXMEETINGROOM1:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,30.00,19.12,302.00,90.00,W
,5FXMEETINGROOM1:ZONE1_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,27.68,212.00,90.00,S
,5FXMEETINGROOM1:ZONE1_EXTFLOOR_0_0_0,PROJECT EXTERNAL FLOOR,0.30,0.251,0.264,15.00,15.00,32.00,180.00,
,5FXMEETINGROOM1:ZONE1_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,97.50,97.50,212.00,0.00,
,5FXLAB1:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,30.00,24.56,122.00,90.00,E
,5FXLAB1:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,37.41,32.00,90.00,N
,5FXLAB1:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,30.00,30.00,302.00,90.00,W
,5FXLAB1:ZONE1_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,33.40,212.00,90.00,S
,5FXLAB1:ZONE1_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,97.50,97.50,212.00,0.00,
,5FXLABXRESTROOM1:LAB_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,29.99,24.40,122.00,90.00,E
,5FXLABXRESTROOM1:LAB_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,33.16,32.00,90.00,N
,5FXLABXRESTROOM1:LAB_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,29.99,29.99,302.00,90.00,W
,5FXLABXRESTROOM1:LAB_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,97.46,97.46,212.00,0.00,
,5FXLABXRESTROOM1:RESTROOM_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,10.00,10.00,122.00,90.00,E
,5FXLABXRESTROOM1:RESTROOM_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,10.00,10.00,302.00,90.00,W
,5FXLABXRESTROOM1:RESTROOM_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,52.00,212.00,90.00,S
,5FXLABXRESTROOM1:RESTROOM_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.499,0.536,32.50,32.50,212.00,0.00,
,3FXFFCXCXDYLGHTNG:OFFICE_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,70.00,17.04,122.00,90.00,E
,3FXFFCXCXDYLGHTNG:OFFICE_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,13.08,32.00,90.00,N
,3FXFFCXCXDYLGHTNG:OFFICE_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,70.00,23.66,302.00,90.00,W
,3FXFFCXCXDYLGHTNG:OFFICE_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,32.54,212.00,90.00,S
,3FXOFFICEXAC1:OFFICE_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,70.00,23.66,122.00,90.00,E
,3FXOFFICEXAC1:OFFICE_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,13.08,32.00,90.00,N
,3FXOFFICEXAC1:OFFICE_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,70.00,17.04,302.00,90.00,W
,3FXOFFICEXAC1:OFFICE_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,52.00,32.54,212.00,90.00,S
,BLOCK3:ZONE1_WALL_1_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,1.60,1.60,32.00,88.00,N
,BLOCK3:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,6.90,6.90,122.00,90.00,E
,BLOCK3:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,6.90,6.90,302.00,90.00,W
,BLOCK3:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.508,0.550,1.60,1.60,212.00,92.00,S
,BLOCK3:ZONE1_EXTFLOOR_0_0_0,PROJECT EXTERNAL FLOOR,0.30,0.251,0.264,275.97,22.08,32.00,178.00,N
,BLOCK3:ZONE1_ROOF_5_0_0,PROJECT PITCHED ROOF,0.30,0.160,0.164,275.97,22.08,212.00,2.00,


Opaque Interior

,,Construction,Reflectance,U-Factor with Film [W/m2-K],U-Factor no Film [W/m2-K],Gross Area [m2],Net Area [m2],Azimuth [deg],Tilt [deg],Cardinal Direction
,BASEMENT2:B1XSERVERROOM_PARTITION_2_0_0,PROJECT PARTITION,0.50,1.696,2.857,87.40,87.40,122.00,90.00,E
,BASEMENT2:B1XSERVERROOM_PARTITION_5_0_0,PROJECT PARTITION_REV,0.50,1.696,2.857,53.20,53.20,212.00,90.00,S
,BASEMENT2:B1XSERVERROOM_PARTITION_6_0_0,PROJECT PARTITION,0.50,1.696,2.857,7.60,7.60,212.00,90.00,S
,BASEMENT2:B1XSERVERROOM_CEILING_1_0_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,78.04,78.04,212.00,0.00,
,BASEMENT2:B1XSERVERROOM_CEILING_1_1_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,30.00,30.00,212.00,0.00,
,BASEMENT2:B1XSERVERROOM_CEILING_1_2_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,89.96,89.96,212.00,0.00,
,BASEMENT2:B1XSERVERROOM_CEILING_1_3_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,42.00,42.00,212.00,0.00,
,BASEMENT2:B1XSERVERROOM_CEILING_1_4_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,13.01,13.01,212.00,0.00,
,BASEMENT2:B1XSERVERROOM_CEILING_1_5_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,7.00,7.00,212.00,0.00,
,BASEMENT2:B1XCORE_PARTITION_2_0_0,PROJECT PARTITION,0.50,1.696,2.857,34.20,34.20,122.00,90.00,E
,BASEMENT2:B1XCORE_PARTITION_3_0_0,PROJECT PARTITION,0.50,1.696,2.857,102.60,102.60,32.00,90.00,N
,BASEMENT2:B1XCORE_PARTITION_4_0_0,PROJECT PARTITION,0.50,1.696,2.857,34.20,34.20,302.00,90.00,W
,BASEMENT2:B1XCORE_PARTITION_5_0_0,PROJECT PARTITION,0.50,1.696,2.857,102.60,102.60,212.00,90.00,S
,BASEMENT2:B1XCORE_CEILING_1_0_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,72.00,72.00,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_PARTITION_4_0_10006,PROJECT PARTITION_REV,0.50,1.696,2.857,87.40,87.40,302.00,90.00,W
,BASEMENT2:B1XCORRIDOR_PARTITION_5_0_10008,PROJECT PARTITION_REV,0.50,1.696,2.857,7.60,7.60,32.00,90.00,N
,BASEMENT2:B1XCORRIDOR_PARTITION_17_0_10010,PROJECT PARTITION_REV,0.50,1.696,2.857,34.20,34.20,302.00,90.00,W
,BASEMENT2:B1XCORRIDOR_PARTITION_16_0_10011,PROJECT PARTITION_REV,0.50,1.696,2.857,102.60,102.60,212.00,90.00,S
,BASEMENT2:B1XCORRIDOR_PARTITION_15_0_10012,PROJECT PARTITION_REV,0.50,1.696,2.857,34.20,34.20,122.00,90.00,E
,BASEMENT2:B1XCORRIDOR_PARTITION_18_0_10013,PROJECT PARTITION_REV,0.50,1.696,2.857,102.60,102.60,32.00,90.00,N
,BASEMENT2:B1XCORRIDOR_PARTITION_2_0_0,PROJECT PARTITION_REV,0.50,1.696,2.857,68.40,68.40,122.00,90.00,E
,BASEMENT2:B1XCORRIDOR_PARTITION_6_0_0,PROJECT PARTITION_REV,0.50,1.696,2.857,49.40,1.46,302.00,90.00,W
,BASEMENT2:B1XCORRIDOR_PARTITION_8_0_0,PROJECT PARTITION_REV,0.50,1.696,2.857,49.40,1.50,122.00,90.00,E
,BASEMENT2:B1XCORRIDOR_PARTITION_9_0_0,PROJECT PARTITION_REV,0.50,1.696,2.857,171.00,1.69,212.00,90.00,S
,BASEMENT2:B1XCORRIDOR_PARTITION_11_0_0,PROJECT PARTITION,0.50,1.696,2.857,34.20,1.45,32.00,90.00,N
,BASEMENT2:B1XCORRIDOR_PARTITION_12_0_0,PROJECT PARTITION_REV,0.50,1.696,2.857,26.60,26.60,32.00,90.00,N
,BASEMENT2:B1XCORRIDOR_CEILING_1_0_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,7.97,7.97,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_CEILING_1_1_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,45.50,45.50,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_CEILING_1_2_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,201.60,201.60,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_CEILING_1_3_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,52.00,52.00,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_CEILING_1_3_1,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,112.00,112.00,212.00,0.00,
,BASEMENT2:B1XEQUIPMENTROOM_PARTITION_4_0_10019,PROJECT PARTITION,0.50,1.696,2.857,68.40,68.40,302.00,90.00,W
,BASEMENT2:B1XEQUIPMENTROOM_PARTITION_5_0_10028,PROJECT PARTITION,0.50,1.696,2.857,26.60,26.60,212.00,90.00,S
,BASEMENT2:B1XEQUIPMENTROOM_PARTITION_2_0_0,PROJECT PARTITION,0.50,1.696,2.857,68.40,68.40,122.00,90.00,E
,BASEMENT2:B1XEQUIPMENTROOM_CEILING_1_0_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,39.99,39.99,212.00,0.00,
,BASEMENT2:B1XEQUIPMENTROOM_CEILING_1_1_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,26.01,26.01,212.00,0.00,
,BASEMENT2:B1XEQUIPMENTROOM_CEILING_1_2_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,6.50,6.50,212.00,0.00,
,BASEMENT2:B1XGYM_PARTITION_5_0_10026,PROJECT PARTITION_REV,0.50,1.696,2.857,34.20,1.45,212.00,90.00,S
,BASEMENT2:B1XGYM_PARTITION_4_0_10032,PROJECT PARTITION_REV,0.50,1.696,2.857,68.40,68.40,302.00,90.00,W
,BASEMENT2:B1XGYM_CEILING_1_0_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,89.97,89.97,212.00,0.00,
,BASEMENT2:B1XGYM_CEILING_1_1_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,58.53,58.53,212.00,0.00,
,BASEMENT2:B1XSHOP_PARTITION_3_0_10007,PROJECT PARTITION,0.50,1.696,2.857,53.20,53.20,32.00,90.00,N
,BASEMENT2:B1XSHOP_PARTITION_2_0_10020,PROJECT PARTITION,0.50,1.696,2.857,49.40,1.46,122.00,90.00,E
,BASEMENT2:B1XSHOP_CEILING_1_0_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,156.00,156.00,212.00,0.00,
,BASEMENT2:B1XCANTEEN_PARTITION_4_0_10022,PROJECT PARTITION,0.50,1.696,2.857,49.40,1.50,302.00,90.00,W
,BASEMENT2:B1XCANTEEN_PARTITION_3_0_10024,PROJECT PARTITION,0.50,1.696,2.857,171.00,1.69,32.00,90.00,N
,BASEMENT2:B1XCANTEEN_CEILING_1_0_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,169.00,169.00,212.00,0.00,
,BASEMENT2:B1XCANTEEN_CEILING_1_1_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,390.00,390.00,212.00,0.00,
,1FXEXHIBITION:ZONE1_FLOOR_0_0_10015,PROJECT INTERNAL FLOOR_REVERSED_REV,0.40,2.934,14.000,45.50,45.50,32.00,180.00,
,1FXEXHIBITION:ZONE1_FLOOR_0_0_10036,PROJECT INTERNAL FLOOR_REVERSED_REV,0.40,2.934,14.000,169.00,169.00,32.00,180.00,
,1FXEXHIBITION:ZONE1_CEILING_1_0_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,123.50,123.50,212.00,0.00,
,1FXEXHIBITION:ZONE1_CEILING_1_1_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,21.00,21.00,212.00,0.00,
,1FXEXHIBITION:ZONE1_CEILING_1_2_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,70.00,70.00,212.00,0.00,
,1FXRECEPTION:ZONE1_FLOOR_0_0_10029,PROJECT INTERNAL FLOOR_REVERSED_REV,0.40,2.934,14.000,39.99,39.99,32.00,180.00,
,1FXRECEPTION:ZONE1_FLOOR_0_0_10033,PROJECT INTERNAL FLOOR_REVERSED_REV,0.40,2.934,14.000,89.97,89.97,32.00,180.00,
,1FXRECEPTION:ZONE1_CEILING_1_0_0,PROJECT INTERNAL FLOOR_REVERSED,0.40,2.934,14.000,32.50,32.50,212.00,0.00,
